2.355218256156175194e+00,2.712466764560961696e+00,1.250566968263612910e+00,5.348047794640621078e+00,7.875303329339807590e+00
2.835376934616948397e+00,3.791314019851839578e+00,3.063794599460642587e+00,4.344148701010216662e+00,3.583324318918746698e+00
2.876884336535193487e+00,1.670557590168666229e+00,-8.880012030371482457e-01,5.553152189844526632e+00,7.880844439772827670e+00
2.546303669485137089e+00,3.905162407931545232e+00,1.839643663658955042e+00,4.064975648483676984e+00,6.386866744872610191e+00
2.066703890228081875e+00,3.907403246331986324e+00,3.768975346190352571e+00,5.546542099393229286e+00,1.197147149252728937e+01
3.055789592553172618e+00,2.588533041033458382e+00,1.199056909495107348e+00,7.500668236431321745e+00,8.280709372810184377e+00
7.512605022235891994e-01,3.778403289310932944e+00,8.815547299781617552e-01,3.839072494415009640e+00,5.515542573600373366e+00
5.715191476181287200e-01,3.458019929081652677e+00,-4.373708709428782981e-01,4.757041194778551585e+00,8.328544034790025918e+00
3.002271296831712899e+00,3.231506434208649470e+00,1.371522562679578172e+00,4.410257730609967730e+00,1.026002002052239170e+01
2.297748538539060359e+00,2.842547851735766073e+00,5.166874226430807626e-01,4.533702795861737300e+00,8.301445717362499366e+00
9.213103706571263984e-01,1.184458495661891764e+00,-1.381254795819815140e-01,3.066495862991606369e+00,7.877622660038866798e+00
1.945085040636612472e+00,2.035074782910064606e+00,3.555458758439223210e+00,5.586220997163846569e+00,1.009325226893712646e+01
3.290860251842677719e+00,3.463195593422463858e+00,-7.576962605813457596e-01,5.831896021427881216e+00,7.111323990317123922e+00
1.302577788453454843e+00,2.900857569488031640e+00,1.902577805287681834e+00,4.784346179784547459e+00,6.947792308673728101e+00
2.326962555898854923e+00,1.524282734282159435e+00,7.299243275410181031e-01,5.891172987650067583e+00,9.261674652360559534e+00
6.991721701661259836e-01,2.389087702585900086e+00,-3.877811867179945526e-01,5.000628329458458587e+00,6.339045567681738547e+00
2.001718154877588862e+00,2.332907241590654657e+00,-2.321389150132514789e+00,4.614225085642884139e+00,8.126027095723687310e+00
1.428072550032892352e+00,2.189646595795527340e+00,-4.585251260026914633e-01,5.732234763603043959e+00,7.983121409209874564e+00
1.199536504866526077e+00,2.943538794142304127e+00,2.781474287059158446e+00,6.018033416268531610e+00,6.449563769144224246e+00
